Year,FullBirthGrowth,RevImmigration,LumpEleUnity
1934,-93.1942982,89.5360212,4490.518884
1935,-94.77324557,89.81233839,4546.10225
1936,-96.37752364,90.08865557,4605.09193
1937,-94.74708886,90.36497276,4659.121607
1938,-92.07329207,90.64128995,4708.191279
1939,-94.1566254,90.91760714,4752.300948
1940,-90.96513604,91.19392432,4791.450613
1941,-86.32596078,91.4008805,4829.658519
1942,-76.96635487,91.60783668,4866.924665
1943,-74.71410262,91.81479286,4903.249051
1944,-81.32203213,92.02174904,4938.631677
1945,-85.09561704,92.22870522,4969.203404
1946,-66.95836214,92.4356614,4994.964232
1947,-56.58491815,92.64261758,5015.914161
1948,-62.9758956,92.84957375,5032.053191
1949,-64.5823213,93.05652993,5053.658237
1950,-66.21497436,93.26348611,5080.729301
1951,-62.89547229,93.41885485,5113.266381
1952,-62.09225943,93.57422359,5151.269479
1953,-62.09225943,93.72959232,5190.409758
1954,-61.29544668,93.88496106,5230.68722
1955,-62.48121744,94.0403298,5272.101863
1956,-61.68121744,94.19569853,5314.653689
1957,-61.28439204,94.35106727,5350.519901
1958,-64.44644737,94.50643601,5379.700499
1959,-66.4872637,94.66180474,5402.195484
1960,-67.7372637,94.81717348,5418.004855
1961,-69.42502741,94.86545613,5442.317256
1962,-73.28768836,94.91373878,5475.132686
1963,-76.41268836,94.96202144,5516.451146
1964,-79.17766532,95.01030409,5566.272636
1965,-86.76060371,95.05858674,5607.029173
1966,-92.40162935,95.10686939,5638.720755
1967,-95.66249891,95.15515204,5661.347384
1968,-96.78609442,95.2034347,5674.90906
1969,-95.08154896,95.25171735,5688.683734
1970,-92.28825287,95.3,5702.671409
1971,-98.809992,95.15,5716.872082
1972,-108.1123176,95,5731.285755
1973,-113.2405227,94.85,5745.912427
1974,-113.2405227,94.7,5760.752099
1975,-114.5918741,94.55,5775.80477
1976,-114.5918741,94.4,5791.07044
1977,-111.1672165,94.25,5812.992805
1978,-111.8294682,94.1,5841.571863
1979,-107.8294682,93.95,5876.807616
1980,-105.9063913,93.8,5918.700063
1981,-106.5353221,93.63,5964.122265
1982,-105.9024107,93.46,6013.074223
1983,-107.7892031,93.29,6065.555936
1984,-107.7892031,93.12,6121.567405
1985,-106.5071519,92.95,6171.949981
1986,-107.7729746,92.78,6216.703664
1987,-107.131949,92.61,6255.828454
1988,-105.221121,92.44,6289.324352
1989,-102.721121,92.27,6319.534723
1990,-100.8918527,92.1,6346.459568
1991,-103.8858647,91.78,6370.098886
1992,-106.3550005,91.46,6390.452678
1993,-108.886646,91.14,6411.814099
1994,-111.4840486,90.82,6434.183149
1995,-114.1507153,90.5,6457.559827
1996,-115.5205783,90.18,6481.944134
1997,-116.9094672,89.86,6503.274206
1998,-116.2052418,89.54,6521.550043
1999,-116.9045425,89.22,6536.771645
2000,-115.4960918,88.9,6548.939011
2001,-117.5794252,88.72,6561.651865
2002,-118.9978649,88.54,6574.910207
2003,-117.559016,88.36,6588.714036
2004,-118.2682358,88.18,6603.063353
2005,-118.2682358,88,6619.870185
2006,-116.1253787,87.82,6639.134533
2007,-116.1253787,87.64,6660.856396
2008,-118.2232808,87.46,6685.035774
2009,-121.7947094,87.28,6708.03361
2010,-125.4984131,87.1,6729.849903
2011,-127.8061054,86.98,6750.484653
2012,-128.5935069,86.86,6769.937861
2013,-130.1808085,86.74,6788.267207
2014,-129.3743569,86.62,6805.47269
2015,-130.1743569,86.5,6821.55431
2016,-131.7872601,86.45,6836.512069
2017,-135.0659487,86.4,6851.880513
2018,-136.7608639,86.35,6867.659642
2019,-138.4850019,86.3,6883.849457
2020,-141.9937738,86.35,6900.449958
2021,-141.9937738,85.875,6916.649958
2022,-141.9937738,85.4,6932.449958
